date,channel,data_source,campaign_name,spend_usd,impressions,clicks,conversions,ctr_pct,cpc_usd,cpm_usd,video_views
2023-01-24,Paid Search,Google Search Ads 360,Networked value-added time-frame,53963.01,113287,12879,1186,11.37,4.19,476.34,0
2023-01-24,Paid Social,LinkedIn Ads,Facebook B2B Decision Makers,10726.58,44533,1747,111,3.92,6.14,240.87,5750
2023-01-24,Organic,Google Display & Video 360,Content Syndication — Organic,0.0,34365,2430,256,7.07,0.0,0.0,0
2023-01-25,Programmatic,StackAdapt,Centralized modular throughput,29521.89,101909,8919,870,8.75,3.31,289.69,19878
2023-01-25,Paid Search,Bing Ads (Microsoft Advertising),Profound intangible policy,48633.91,109382,10111,929,9.24,4.81,444.62,0
2023-01-25,Paid Social,LinkedIn Ads,Q1 LinkedIn Enterprise Outreach,10526.88,51181,1687,119,3.3,6.24,205.68,11159
2023-01-25,Organic,Google Display & Video 360,SEO — Brand Awareness,0.0,44515,3563,305,8.01,0.0,0.0,0
2023-01-26,Programmatic,Amazon Ad Server (Sizmek),Business-focused zero tolerance architecture,42665.28,129943,12698,1310,9.77,3.36,328.34,19357
2023-01-26,Paid Search,Google Search Ads 360,Networked value-added time-frame,32951.76,85132,8858,806,10.41,3.72,387.07,0
2023-01-26,Paid Social,LinkedIn Ads,FB Lead Gen — Mid-Market,11516.88,47800,2042,142,4.27,5.64,240.94,10262
2023-01-26,Organic,Google Display & Video 360,Blog Traffic — Inbound,0.0,40207,3072,334,7.64,0.0,0.0,0
2023-01-27,Programmatic,Amazon Ad Server (Sizmek),Cross-platform static hierarchy,35525.68,126884,10831,1136,8.54,3.28,279.99,25980
2023-01-27,Paid Search,Google Search Ads 360,Networked value-added time-frame,46133.08,90196,10804,989,11.98,4.27,511.48,0
2023-01-27,Paid Social,Facebook,Q1 LinkedIn Enterprise Outreach,12594.48,56508,2164,146,3.83,5.82,222.88,8116
2023-01-27,Organic,Google Display & Video 360,Organic Social — LinkedIn,0.0,37503,3314,363,8.84,0.0,0.0,0
2023-01-28,Programmatic,StackAdapt,Automated uniform software,39082.5,91818,10422,1071,11.35,3.75,425.65,15316
2023-01-28,Paid Search,Bing Ads (Microsoft Advertising),Profound intangible policy,29370.12,76395,7306,758,9.56,4.02,384.45,0
2023-01-28,Paid Social,LinkedIn Ads,Facebook B2B Decision Makers,6615.0,46223,1050,77,2.27,6.3,143.11,8215
2023-01-28,Organic,Google Display & Video 360,Content Syndication — Organic,0.0,34029,2633,282,7.74,0.0,0.0,0
2023-01-29,Programmatic,Amazon Ad Server (Sizmek),Business-focused zero tolerance architecture,51780.34,106963,12014,1212,11.23,4.31,484.1,19424
2023-01-29,Paid Search,Bing Ads (Microsoft Advertising),Persistent 24/7 attitude,51469.7,107716,11045,1310,10.25,4.66,477.83,0
2023-01-29,Paid Social,LinkedIn Ads,FB Lead Gen — Mid-Market,5649.4,44958,940,58,2.09,6.01,125.66,9810
2023-01-29,Organic,Google Display & Video 360,SEO — Brand Awareness,0.0,35453,3146,297,8.88,0.0,0.0,0
2023-01-30,Programmatic,Amazon Ad Server (Sizmek),Centralized modular throughput,62045.3,152243,16769,1528,11.01,3.7,407.54,18006
2023-01-30,Paid Search,Google Search Ads 360,Persistent 24/7 attitude,51400.86,91794,10642,1222,11.59,4.83,559.96,0
2023-01-30,Paid Social,LinkedIn Ads,FB Lead Gen — Mid-Market,17524.99,71342,2813,197,3.94,6.23,245.65,14193
2023-01-30,Organic,Google Display & Video 360,Content Syndication — Organic,0.0,40127,3331,290,8.3,0.0,0.0,0
2023-01-31,Programmatic,Amazon Ad Server (Sizmek),Business-focused zero tolerance architecture,50182.17,139009,12769,1235,9.19,3.93,361.0,18091
2023-01-31,Paid Search,Bing Ads (Microsoft Advertising),Integrated dedicated contingency,46975.38,93944,10347,1093,11.01,4.54,500.04,0
2023-01-31,Paid Social,Facebook,Facebook B2B Decision Makers,16665.6,59742,2976,196,4.98,5.6,278.96,12111
2023-01-31,Organic,Google Display & Video 360,Content Syndication — Organic,0.0,42732,3006,252,7.04,0.0,0.0,0
2023-02-01,Programmatic,StackAdapt,Cross-platform static hierarchy,47578.65,132257,14035,1180,10.61,3.39,359.74,10849
2023-02-01,Paid Search,Google Search Ads 360,Integrated dedicated contingency,43865.64,98869,10647,1081,10.77,4.12,443.67,0
2023-02-01,Paid Social,Facebook,LinkedIn Sponsored InMail — CXO,12519.09,65148,2097,136,3.22,5.97,192.16,8828
2023-02-01,Organic,Google Display & Video 360,SEO — Brand Awareness,0.0,44115,4389,488,9.95,0.0,0.0,0
2023-02-02,Programmatic,StackAdapt,Business-focused zero tolerance architecture,45675.0,122090,12180,1039,9.98,3.75,374.11,26518
2023-02-02,Paid Search,Google Search Ads 360,Networked value-added time-frame,33487.11,86655,8653,944,9.99,3.87,386.44,0
2023-02-02,Paid Social,Facebook,Facebook B2B Decision Makers,4648.99,38489,943,54,2.45,4.93,120.79,3827
2023-02-02,Organic,Google Display & Video 360,SEO — Brand Awareness,0.0,36723,2654,248,7.23,0.0,0.0,0
2023-02-03,Programmatic,Amazon Ad Server (Sizmek),Automated uniform software,47071.8,129917,13644,1131,10.5,3.45,362.32,11136
2023-02-03,Paid Search,Bing Ads (Microsoft Advertising),Networked value-added time-frame,34352.8,94915,9335,885,9.84,3.68,361.93,0
2023-02-03,Paid Social,Facebook,LinkedIn Sponsored InMail — CXO,9440.64,49494,1788,105,3.61,5.28,190.74,7447
2023-02-03,Organic,Google Display & Video 360,Organic Social — LinkedIn,0.0,47094,3135,334,6.66,0.0,0.0,0
2023-02-04,Programmatic,Amazon Ad Server (Sizmek),Centralized modular throughput,37158.0,101260,11260,1166,11.12,3.3,366.96,12025
2023-02-04,Paid Search,Bing Ads (Microsoft Advertising),Persistent 24/7 attitude,48985.7,113748,12790,1215,11.24,3.83,430.65,0
2023-02-04,Paid Social,LinkedIn Ads,Facebook B2B Decision Makers,9995.04,51246,1893,127,3.7,5.28,195.04,7418
2023-02-04,Organic,Google Display & Video 360,Organic Social — LinkedIn,0.0,44547,2960,268,6.65,0.0,0.0,0
2023-02-05,Programmatic,Amazon Ad Server (Sizmek),Automated uniform software,48538.15,144390,14489,1345,10.04,3.35,336.16,20595
2023-02-05,Paid Search,Google Search Ads 360,Integrated dedicated contingency,41463.9,105256,10238,1000,9.73,4.05,393.93,0
2023-02-05,Paid Social,Facebook,LinkedIn Sponsored InMail — CXO,7308.0,44775,1400,83,3.13,5.22,163.22,4332
2023-02-05,Organic,Google Display & Video 360,SEO — Brand Awareness,0.0,48052,4264,440,8.87,0.0,0.0,0
2023-02-06,Programmatic,StackAdapt,Automated uniform software,43504.5,127330,11155,1037,8.76,3.9,341.67,23474
2023-02-06,Paid Search,Google Search Ads 360,Persistent 24/7 attitude,39046.67,103272,9689,951,9.38,4.03,378.1,0
2023-02-06,Paid Social,Facebook,Facebook B2B Decision Makers,15088.5,59931,2395,148,4.0,6.3,251.76,9877
2023-02-06,Organic,Google Display & Video 360,Content Syndication — Organic,0.0,38006,2625,230,6.91,0.0,0.0,0
2023-02-07,Programmatic,StackAdapt,Cross-platform static hierarchy,28966.35,93215,8445,726,9.06,3.43,310.75,19160
2023-02-07,Paid Search,Google Search Ads 360,Persistent 24/7 attitude,38032.67,74787,7907,807,10.57,4.81,508.55,0
2023-02-07,Paid Social,LinkedIn Ads,Facebook B2B Decision Makers,8375.3,40496,1373,101,3.39,6.1,206.82,7872
2023-02-07,Organic,Google Display & Video 360,Organic Social — LinkedIn,0.0,32469,2332,240,7.18,0.0,0.0,0
2023-02-08,Programmatic,Amazon Ad Server (Sizmek),Cross-platform static hierarchy,56870.07,135465,13837,1188,10.21,4.11,419.81,14384
2023-02-08,Paid Search,Google Search Ads 360,Persistent 24/7 attitude,40906.84,102596,10543,1109,10.28,3.88,398.72,0
2023-02-08,Paid Social,Facebook,LinkedIn Sponsored InMail — CXO,11597.8,49800,2060,125,4.14,5.63,232.89,5060
2023-02-08,Organic,Google Display & Video 360,Organic Social — LinkedIn,0.0,43819,3781,320,8.63,0.0,0.0,0
2023-02-09,Programmatic,Amazon Ad Server (Sizmek),Centralized modular throughput,29678.4,94868,8244,869,8.69,3.6,312.84,18345
2023-02-09,Paid Search,Google Search Ads 360,Integrated dedicated contingency,39843.36,83510,9223,1044,11.04,4.32,477.11,0
2023-02-09,Paid Social,Facebook,Facebook B2B Decision Makers,10432.8,48824,1680,104,3.44,6.21,213.68,9583
2023-02-09,Organic,Google Display & Video 360,Content Syndication — Organic,0.0,43928,3073,322,7.0,0.0,0.0,0
2023-02-10,Programmatic,Amazon Ad Server (Sizmek),Cross-platform static hierarchy,39102.64,115849,10078,994,8.7,3.88,337.53,22921
2023-02-10,Paid Search,Google Search Ads 360,Networked value-added time-frame,40759.74,94706,10783,1030,11.39,3.78,430.38,0
2023-02-10,Paid Social,Facebook,FB Lead Gen — Mid-Market,13728.12,51088,2478,169,4.85,5.54,268.72,6653
2023-02-10,Organic,Google Display & Video 360,Organic Social — LinkedIn,0.0,50938,4110,441,8.07,0.0,0.0,0
2023-02-11,Programmatic,Amazon Ad Server (Sizmek),Business-focused zero tolerance architecture,44035.44,109157,10793,933,9.89,4.08,403.41,16415
2023-02-11,Paid Search,Bing Ads (Microsoft Advertising),Persistent 24/7 attitude,42470.25,85425,9993,1012,11.7,4.25,497.16,0
2023-02-11,Paid Social,Facebook,Facebook B2B Decision Makers,15462.86,59322,2482,142,4.18,6.23,260.66,9958
2023-02-11,Organic,Google Display & Video 360,Blog Traffic — Inbound,0.0,35742,2522,268,7.06,0.0,0.0,0
2023-02-12,Programmatic,StackAdapt,Automated uniform software,46739.8,122946,13747,1374,11.18,3.4,380.17,15201
2023-02-12,Paid Search,Google Search Ads 360,Networked value-added time-frame,43813.77,90930,10213,922,11.23,4.29,481.84,0
2023-02-12,Paid Social,LinkedIn Ads,Facebook B2B Decision Makers,18204.57,59581,3019,186,5.07,6.03,305.54,5689
2023-02-12,Organic,Google Display & Video 360,Organic Social — LinkedIn,0.0,46045,3227,306,7.01,0.0,0.0,0
2023-02-13,Programmatic,StackAdapt,Business-focused zero tolerance architecture,40860.45,109820,10089,990,9.19,4.05,372.07,18643
2023-02-13,Paid Search,Bing Ads (Microsoft Advertising),Integrated dedicated contingency,48869.87,114674,12187,1184,10.63,4.01,426.16,0
2023-02-13,Paid Social,Facebook,LinkedIn Sponsored InMail — CXO,13697.1,49528,2565,170,5.18,5.34,276.55,7165
2023-02-13,Organic,Google Display & Video 360,SEO — Brand Awareness,0.0,50183,3569,358,7.11,0.0,0.0,0
2023-02-14,Programmatic,StackAdapt,Centralized modular throughput,44929.17,122437,10473,1071,8.55,4.29,366.96,19482
2023-02-14,Paid Search,Bing Ads (Microsoft Advertising),Persistent 24/7 attitude,46616.48,105359,12398,1382,11.77,3.76,442.45,0
2023-02-14,Paid Social,LinkedIn Ads,FB Lead Gen — Mid-Market,13034.57,53683,2213,140,4.12,5.89,242.81,11316
2023-02-14,Organic,Google Display & Video 360,Organic Social — LinkedIn,0.0,45721,3796,328,8.3,0.0,0.0,0
2023-02-15,Programmatic,StackAdapt,Business-focused zero tolerance architecture,57172.56,152680,13548,1403,8.87,4.22,374.46,23304
2023-02-15,Paid Search,Bing Ads (Microsoft Advertising),Networked value-added time-frame,47249.58,116136,11842,1077,10.2,3.99,406.85,0
2023-02-15,Paid Social,Facebook,Q1 LinkedIn Enterprise Outreach,7195.5,66996,1350,83,2.02,5.33,107.4,10400
2023-02-15,Organic,Google Display & Video 360,SEO — Brand Awareness,0.0,52344,4127,385,7.89,0.0,0.0,0
2023-02-16,Programmatic,Amazon Ad Server (Sizmek),Automated uniform software,38296.83,123150,11297,1024,9.17,3.39,310.98,12893
2023-02-16,Paid Search,Bing Ads (Microsoft Advertising),Persistent 24/7 attitude,43217.72,104556,10724,1266,10.26,4.03,413.35,0
2023-02-16,Paid Social,Facebook,LinkedIn Sponsored InMail — CXO,13998.02,57598,2426,134,4.21,5.77,243.03,6043
2023-02-16,Organic,Google Display & Video 360,Organic Social — LinkedIn,0.0,49568,3516,335,7.09,0.0,0.0,0
2023-02-17,Programmatic,StackAdapt,Cross-platform static hierarchy,40524.33,122359,12243,1158,10.01,3.31,331.19,22635
2023-02-17,Paid Search,Bing Ads (Microsoft Advertising),Profound intangible policy,33497.52,75190,8792,841,11.69,3.81,445.5,0
2023-02-17,Paid Social,Facebook,Facebook B2B Decision Makers,6448.22,36955,1349,89,3.65,4.78,174.49,6968
2023-02-17,Organic,Google Display & Video 360,Blog Traffic — Inbound,0.0,33388,2870,276,8.6,0.0,0.0,0
2023-02-18,Programmatic,StackAdapt,Centralized modular throughput,43834.52,116133,10412,866,8.97,4.21,377.45,24673
2023-02-18,Paid Search,Bing Ads (Microsoft Advertising),Profound intangible policy,36008.36,89732,8804,964,9.81,4.09,401.29,0
2023-02-18,Paid Social,LinkedIn Ads,LinkedIn Sponsored InMail — CXO,5990.4,40841,1040,71,2.55,5.76,146.68,3422
2023-02-18,Organic,Google Display & Video 360,Content Syndication — Organic,0.0,33604,2494,257,7.42,0.0,0.0,0
2023-02-19,Programmatic,StackAdapt,Automated uniform software,36309.62,83919,9146,760,10.9,3.97,432.67,9511
2023-02-19,Paid Search,Bing Ads (Microsoft Advertising),Profound intangible policy,31568.85,69778,6789,760,9.73,4.65,452.42,0
2023-02-19,Paid Social,Facebook,Facebook B2B Decision Makers,8517.0,50168,1700,116,3.39,5.01,169.77,6072
2023-02-19,Organic,Google Display & Video 360,Content Syndication — Organic,0.0,38505,2522,216,6.55,0.0,0.0,0
2023-02-20,Programmatic,Amazon Ad Server (Sizmek),Automated uniform software,28960.26,86317,7806,736,9.04,3.71,335.51,17692
2023-02-20,Paid Search,Bing Ads (Microsoft Advertising),Persistent 24/7 attitude,40601.25,100004,10025,976,10.03,4.05,406.0,0
2023-02-20,Paid Social,LinkedIn Ads,LinkedIn Sponsored InMail — CXO,7704.0,49035,1440,97,2.94,5.35,157.11,7712
2023-02-20,Organic,Google Display & Video 360,Content Syndication — Organic,0.0,34587,2655,295,7.68,0.0,0.0,0
2023-02-21,Programmatic,Amazon Ad Server (Sizmek),Business-focused zero tolerance architecture,51106.25,108281,12025,1102,11.11,4.25,471.98,20787
2023-02-21,Paid Search,Google Search Ads 360,Networked value-added time-frame,39401.75,102254,9271,905,9.07,4.25,385.33,0
2023-02-21,Paid Social,Facebook,Q1 LinkedIn Enterprise Outreach,10393.9,59219,1718,99,2.9,6.05,175.52,12898
2023-02-21,Organic,Google Display & Video 360,Blog Traffic — Inbound,0.0,42596,3061,279,7.19,0.0,0.0,0
2023-02-22,Programmatic,Amazon Ad Server (Sizmek),Cross-platform static hierarchy,36408.9,116178,10285,967,8.85,3.54,313.39,18307
2023-02-22,Paid Search,Bing Ads (Microsoft Advertising),Profound intangible policy,36226.02,88082,10119,968,11.49,3.58,411.28,0
2023-02-22,Paid Social,LinkedIn Ads,Facebook B2B Decision Makers,11031.34,37860,1949,140,5.15,5.66,291.37,6211
2023-02-22,Organic,Google Display & Video 360,SEO — Brand Awareness,0.0,35413,2550,280,7.2,0.0,0.0,0
2023-02-23,Programmatic,StackAdapt,Centralized modular throughput,37401.12,108743,10936,869,10.06,3.42,343.94,19935
2023-02-23,Paid Search,Google Search Ads 360,Profound intangible policy,34753.6,79198,8560,830,10.81,4.06,438.82,0
2023-02-23,Paid Social,LinkedIn Ads,Facebook B2B Decision Makers,7786.02,46415,1506,104,3.24,5.17,167.75,7393
2023-02-23,Organic,Google Display & Video 360,Blog Traffic — Inbound,0.0,37660,3447,382,9.15,0.0,0.0,0
2023-02-24,Programmatic,Amazon Ad Server (Sizmek),Cross-platform static hierarchy,37320.95,111077,9545,815,8.59,3.91,335.99,9685
2023-02-24,Paid Search,Bing Ads (Microsoft Advertising),Profound intangible policy,51106.78,104325,11257,1123,10.79,4.54,489.88,0
